Fbtype,deviation,subject,thr,condition,cv,phase,stim
2,11.1,1,11.1,Pre_int_stimpair_1,0.018698267567859,1_pre,1
2,11.1,1,11.1,Pre_int_stimpair_2,0.0794171899180049,1_pre,2
2,11.1,1,11.1,Post_int_stimpair_1,0.0686051587007423,3_post,1
2,11.1,1,11.1,Post_int_stimpair_2,0.037206370475565,3_post,2
1,2.8,2,2.8,Pre_int_stimpair_1,0.00237526258956163,1_pre,1
1,2.8,2,2.8,Pre_int_stimpair_2,0.162328563707711,1_pre,2
1,2.8,2,2.8,Post_int_stimpair_1,-0.0916985885320567,3_post,1
1,2.8,2,2.8,Post_int_stimpair_2,-0.0427274664397108,3_post,2
2,6.4,3,6.4,Pre_int_stimpair_1,0.234744634516434,1_pre,1
2,6.4,3,6.4,Pre_int_stimpair_2,0.0346241005692673,1_pre,2
2,6.4,3,6.4,Post_int_stimpair_1,-0.0521995814425895,3_post,1
2,6.4,3,6.4,Post_int_stimpair_2,-0.0745075965792646,3_post,2
1,6.6,4,6.6,Pre_int_stimpair_1,-0.018628487738842,1_pre,1
1,6.6,4,6.6,Pre_int_stimpair_2,0.0406986497844846,1_pre,2
1,6.6,4,6.6,Post_int_stimpair_1,0.0284676492397489,3_post,1
1,6.6,4,6.6,Post_int_stimpair_2,0.0781196286925555,3_post,2
2,3.05,5,3.05,Pre_int_stimpair_1,0.0898864675941658,1_pre,1
2,3.05,5,3.05,Pre_int_stimpair_2,0.0197237855620712,1_pre,2
2,3.05,5,3.05,Post_int_stimpair_1,0.0962204058366423,3_post,1
2,3.05,5,3.05,Post_int_stimpair_2,-0.0313869335618834,3_post,2
1,7.35,6,7.35,Pre_int_stimpair_1,-0.0254320823911898,1_pre,1
1,7.35,6,7.35,Pre_int_stimpair_2,0.0198719224038634,1_pre,2
1,7.35,6,7.35,Post_int_stimpair_1,0.0309417162591943,3_post,1
1,7.35,6,7.35,Post_int_stimpair_2,-0.0542705235637305,3_post,2
2,8.4,7,8.4,Pre_int_stimpair_1,0.112184440912718,1_pre,1
2,8.4,7,8.4,Pre_int_stimpair_2,-0.0196957020513588,1_pre,2
2,8.4,7,8.4,Post_int_stimpair_1,-0.0327019294256072,3_post,1
2,8.4,7,8.4,Post_int_stimpair_2,-0.0504198892209894,3_post,2
1,6.7,8,6.7,Pre_int_stimpair_1,-0.0806671795539483,1_pre,1
1,6.7,8,6.7,Pre_int_stimpair_2,0.143050408684679,1_pre,2
1,6.7,8,6.7,Post_int_stimpair_1,0.111592851190829,3_post,1
1,6.7,8,6.7,Post_int_stimpair_2,-0.0390545341780544,3_post,2
2,6.65,9,6.65,Pre_int_stimpair_1,0.0267781457007959,1_pre,1
2,6.65,9,6.65,Pre_int_stimpair_2,0.00513594841646649,1_pre,2
2,6.65,9,6.65,Post_int_stimpair_1,0.00969051362668994,3_post,1
2,6.65,9,6.65,Post_int_stimpair_2,0.0320214248953192,3_post,2
1,6.65,10,6.65,Pre_int_stimpair_1,0.0130825740764999,1_pre,1
1,6.65,10,6.65,Pre_int_stimpair_2,0.00752358951375628,1_pre,2
1,6.65,10,6.65,Post_int_stimpair_1,-0.0172668887007158,3_post,1
1,6.65,10,6.65,Post_int_stimpair_2,-0.0157839055827153,3_post,2
2,6.35,11,6.35,Pre_int_stimpair_1,0.00381033359705691,1_pre,1
2,6.35,11,6.35,Pre_int_stimpair_2,0.110890757721246,1_pre,2
2,6.35,11,6.35,Post_int_stimpair_1,0.013324838538872,3_post,1
2,6.35,11,6.35,Post_int_stimpair_2,-0.0375458075185613,3_post,2
1,5.6,12,5.6,Pre_int_stimpair_1,-0.02288606581956,1_pre,1
1,5.6,12,5.6,Pre_int_stimpair_2,-0.00700119396831951,1_pre,2
1,5.6,12,5.6,Post_int_stimpair_1,0.109338043081055,3_post,1
1,5.6,12,5.6,Post_int_stimpair_2,0.143754405015267,3_post,2
2,4.4,13,4.4,Pre_int_stimpair_1,0.0482443692224628,1_pre,1
2,4.4,13,4.4,Pre_int_stimpair_2,0.069515348973474,1_pre,2
2,4.4,13,4.4,Post_int_stimpair_1,-0.0132760715118138,3_post,1
2,4.4,13,4.4,Post_int_stimpair_2,0.0147268632583935,3_post,2
1,8.7,14,8.7,Pre_int_stimpair_1,0.0488374524500271,1_pre,1
1,8.7,14,8.7,Pre_int_stimpair_2,0.0307317586564737,1_pre,2
1,8.7,14,8.7,Post_int_stimpair_1,0.0705460108614412,3_post,1
1,8.7,14,8.7,Post_int_stimpair_2,0.049655945742071,3_post,2
2,5.7,15,5.7,Pre_int_stimpair_1,0.0500967299229748,1_pre,1
2,5.7,15,5.7,Pre_int_stimpair_2,0.0351194178890345,1_pre,2
2,5.7,15,5.7,Post_int_stimpair_1,0.0240178725692295,3_post,1
2,5.7,15,5.7,Post_int_stimpair_2,-0.0491292919943268,3_post,2
1,3.2,16,3.2,Pre_int_stimpair_1,0.0197319650506661,1_pre,1
1,3.2,16,3.2,Pre_int_stimpair_2,-0.00288373357990335,1_pre,2
1,3.2,16,3.2,Post_int_stimpair_1,0.108812472632679,3_post,1
1,3.2,16,3.2,Post_int_stimpair_2,-0.00123026055226139,3_post,2
2,2.45,17,2.45,Pre_int_stimpair_1,0.0142202265699909,1_pre,1
2,2.45,17,2.45,Pre_int_stimpair_2,-0.0117701648666179,1_pre,2
2,2.45,17,2.45,Post_int_stimpair_1,-0.0418636579017136,3_post,1
2,2.45,17,2.45,Post_int_stimpair_2,0.0323218766739061,3_post,2
1,7.5,18,7.5,Pre_int_stimpair_1,-0.0844352372719212,1_pre,1
1,7.5,18,7.5,Pre_int_stimpair_2,0.0023375468493017,1_pre,2
1,7.5,18,7.5,Post_int_stimpair_1,-0.0488076230778432,3_post,1
1,7.5,18,7.5,Post_int_stimpair_2,0.0317692393127702,3_post,2
2,18.2,19,18.2,Pre_int_stimpair_1,-0.0382875196203237,1_pre,1
2,18.2,19,18.2,Pre_int_stimpair_2,-0.0122081122677633,1_pre,2
2,18.2,19,18.2,Post_int_stimpair_1,0.00964442492440269,3_post,1
2,18.2,19,18.2,Post_int_stimpair_2,-0.0586427832054845,3_post,2
1,6.3,20,6.3,Pre_int_stimpair_1,-0.0817742108215132,1_pre,1
1,6.3,20,6.3,Pre_int_stimpair_2,-0.0546238884073678,1_pre,2
1,6.3,20,6.3,Post_int_stimpair_1,0.0239612849561367,3_post,1
1,6.3,20,6.3,Post_int_stimpair_2,-0.00454633173649803,3_post,2
2,17.3,21,17.3,Pre_int_stimpair_1,0.0455549237555855,1_pre,1
2,17.3,21,17.3,Pre_int_stimpair_2,0.0679016862993704,1_pre,2
2,17.3,21,17.3,Post_int_stimpair_1,0.141978538066761,3_post,1
2,17.3,21,17.3,Post_int_stimpair_2,0.020648072185174,3_post,2
2,1.7,23,1.7,Pre_int_stimpair_1,-0.0452161118890527,1_pre,1
2,1.7,23,1.7,Pre_int_stimpair_2,-0.0273788517913692,1_pre,2
2,1.7,23,1.7,Post_int_stimpair_1,0.00358568782250151,3_post,1
2,1.7,23,1.7,Post_int_stimpair_2,-0.0196162381516572,3_post,2
1,9.45,24,9.45,Pre_int_stimpair_1,0.0440723297740171,1_pre,1
1,9.45,24,9.45,Pre_int_stimpair_2,0.154051672215126,1_pre,2
1,9.45,24,9.45,Post_int_stimpair_1,0.0619368772990608,3_post,1
1,9.45,24,9.45,Post_int_stimpair_2,0.145555967043945,3_post,2
2,19.4,25,19.4,Pre_int_stimpair_1,0.00501621333338414,1_pre,1
2,19.4,25,19.4,Pre_int_stimpair_2,0.11042991383149,1_pre,2
2,19.4,25,19.4,Post_int_stimpair_1,0.0410937924272072,3_post,1
2,19.4,25,19.4,Post_int_stimpair_2,0.0246323698646296,3_post,2
1,15.85,26,15.85,Pre_int_stimpair_1,-0.0433600147157897,1_pre,1
1,15.85,26,15.85,Pre_int_stimpair_2,-0.0746134653496126,1_pre,2
1,15.85,26,15.85,Post_int_stimpair_1,0.0120013984828344,3_post,1
1,15.85,26,15.85,Post_int_stimpair_2,0.0172811880780385,3_post,2
2,3.6,27,3.6,Pre_int_stimpair_1,0.0285819349281251,1_pre,1
2,3.6,27,3.6,Pre_int_stimpair_2,0.00721872664948757,1_pre,2
2,3.6,27,3.6,Post_int_stimpair_1,-0.0463048974304204,3_post,1
2,3.6,27,3.6,Post_int_stimpair_2,-0.00138481490000283,3_post,2
1,11.4,28,11.4,Pre_int_stimpair_1,0.0399885436836602,1_pre,1
1,11.4,28,11.4,Pre_int_stimpair_2,-0.0390798524383029,1_pre,2
1,11.4,28,11.4,Post_int_stimpair_1,0.0184774196233711,3_post,1
1,11.4,28,11.4,Post_int_stimpair_2,0.0583693878406888,3_post,2
2,3.1,29,3.1,Pre_int_stimpair_1,-0.00753249860121174,1_pre,1
2,3.1,29,3.1,Pre_int_stimpair_2,0.0692476318599821,1_pre,2
2,3.1,29,3.1,Post_int_stimpair_1,-0.0408690827526655,3_post,1
2,3.1,29,3.1,Post_int_stimpair_2,-0.0623751595482384,3_post,2
1,11.55,30,11.55,Pre_int_stimpair_1,0.0630612832926458,1_pre,1
1,11.55,30,11.55,Pre_int_stimpair_2,0.0559039862485684,1_pre,2
1,11.55,30,11.55,Post_int_stimpair_1,-0.01179791834544,3_post,1
1,11.55,30,11.55,Post_int_stimpair_2,0.0337800896589677,3_post,2
